Swat_Edit (Swat Parameters Editor 2012) Version 2.5.3.33454

________________________________________________________________________________________________________________________________________________________________________________________________________


r__CN2.mgt 1.2

Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '52.479'  Old: '94.462200' }  |  File: '000010001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '47.481'  Old: '85.465800' }  |  File: '000010002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '63.308'  Old: '98.000000' }  |  File: '000010003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '77.469'  Old: '98.000000' }  |  File: '000010004.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '71.638'  Old: '98.000000' }  |  File: '000010005.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '71.638'  Old: '98.000000' }  |  File: '000010006.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '60.809'  Old: '98.000000' }  |  File: '000020001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '58.31'  Old: '98.000000' }  |  File: '000020002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '58.31'  Old: '98.000000' }  |  File: '000020003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '52.479'  Old: '94.462200' }  |  File: '000020004.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '47.481'  Old: '85.465800' }  |  File: '000020005.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '68.306'  Old: '98.000000' }  |  File: '000020006.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '63.308'  Old: '98.000000' }  |  File: '000020007.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '60.809'  Old: '98.000000' }  |  File: '000030001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '51.646'  Old: '92.962800' }  |  File: '000030002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '51.646'  Old: '92.962800' }  |  File: '000030003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '52.479'  Old: '94.462200' }  |  File: '000030004.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '47.481'  Old: '85.465800' }  |  File: '000030005.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '68.306'  Old: '98.000000' }  |  File: '000030006.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '98.000000'  Original: '54.145'  Old: '97.461000' }  |  File: '000030007.mgt'  |  Line: '11'
